organizationId,company_name,asset_name,data_type,metric,unit,month,reportedYear,total_value,customer_id,level,immediate_parent_name,top_parent_name,is_negative,is_zero,is_sparse_metric
354342113419,Frontier Developments Ltd.,Maldives Beach Resort,Electricity Consumption,Electricity,kWh,2026-01,2026,10.0,1704,0,,Frontier Developments Ltd.,False,False,False
354342113419,Frontier Developments Ltd.,Alexandra Business Park,Electricity Consumption,Electricity,kWh,2026-01,2026,31300.0,1704,0,,Frontier Developments Ltd.,False,False,False
354342113419,Frontier Developments Ltd.,Raffles Place Centre,Electricity Consumption,Electricity,kWh,2026-02,2026,1134061.4568,1704,0,,Frontier Developments Ltd.,False,False,False
354342113419,Frontier Developments Ltd.,Maldives Beach Resort,Electricity Consumption,Electricity,kWh,2026-02,2026,0.0,1704,0,,Frontier Developments Ltd.,False,True,False
354342113419,Frontier Developments Ltd.,Alexandra Business Park,Electricity Consumption,Electricity,kWh,2026-02,2026,18920.0,1704,0,,Frontier Developments Ltd.,False,False,False
354342113419,Frontier Developments Ltd.,Raffles Place Centre,Electricity Consumption,Electricity,kWh,2026-03,2026,119735.042,1704,0,,Frontier Developments Ltd.,False,False,False
354342113419,Frontier Developments Ltd.,Maldives Beach Resort,Electricity Consumption,Electricity,kWh,2026-03,2026,0.0,1704,0,,Frontier Developments Ltd.,False,True,False
354342113419,Frontier Developments Ltd.,Alexandra Business Park,Electricity Consumption,Electricity,kWh,2026-03,2026,17380.121,1704,0,,Frontier Developments Ltd.,False,False,False
354342113419,Frontier Developments Ltd.,Maldives Beach Resort,Electricity Consumption,Electricity,kWh,2026-04,2026,0.0,1704,0,,Frontier Developments Ltd.,False,True,False
354342113419,Frontier Developments Ltd.,Alexandra Business Park,Electricity Consumption,Electricity,kWh,2026-04,2026,17380.121,1704,0,,Frontier Developments Ltd.,False,False,False
354342113419,Frontier Developments Ltd.,Maldives Beach Resort,Electricity Consumption,Electricity,kWh,2026-05,2026,0.0,1704,0,,Frontier Developments Ltd.,False,True,False
354342113419,Frontier Developments Ltd.,Alexandra Business Park,Electricity Consumption,Electricity,kWh,2026-05,2026,17380.121,1704,0,,Frontier Developments Ltd.,False,False,False
354342113419,Frontier Developments Ltd.,Maldives Beach Resort,Electricity Consumption,Electricity,kWh,2026-06,2026,0.0,1704,0,,Frontier Developments Ltd.,False,True,False
354342113419,Frontier Developments Ltd.,Alexandra Business Park,Electricity Consumption,Electricity,kWh,2026-06,2026,17380.121,1704,0,,Frontier Developments Ltd.,False,False,False
354342113419,Frontier Developments Ltd.,Maldives Beach Resort,Electricity Consumption,Electricity,kWh,2026-07,2026,0.0,1704,0,,Frontier Developments Ltd.,False,True,False
354342113419,Frontier Developments Ltd.,Alexandra Business Park,Electricity Consumption,Electricity,kWh,2026-07,2026,17380.121,1704,0,,Frontier Developments Ltd.,False,False,False
354342113419,Frontier Developments Ltd.,Maldives Beach Resort,Electricity Consumption,Electricity,kWh,2026-08,2026,0.0,1704,0,,Frontier Developments Ltd.,False,True,False
354342113419,Frontier Developments Ltd.,Alexandra Business Park,Electricity Consumption,Electricity,kWh,2026-08,2026,17380.121,1704,0,,Frontier Developments Ltd.,False,False,False
354342113419,Frontier Developments Ltd.,Maldives Beach Resort,Electricity Consumption,Electricity,kWh,2026-09,2026,0.0,1704,0,,Frontier Developments Ltd.,False,True,False
354342113419,Frontier Developments Ltd.,Alexandra Business Park,Electricity Consumption,Electricity,kWh,2026-09,2026,17380.121,1704,0,,Frontier Developments Ltd.,False,False,False
354342113419,Frontier Developments Ltd.,Maldives Beach Resort,Electricity Consumption,Electricity,kWh,2026-10,2026,0.0,1704,0,,Frontier Developments Ltd.,False,True,False
354342113419,Frontier Developments Ltd.,Alexandra Business Park,Electricity Consumption,Electricity,kWh,2026-10,2026,17380.121,1704,0,,Frontier Developments Ltd.,False,False,False
354342113419,Frontier Developments Ltd.,Maldives Beach Resort,Electricity Consumption,Electricity,kWh,2026-11,2026,0.0,1704,0,,Frontier Developments Ltd.,False,True,False
354342113419,Frontier Developments Ltd.,Alexandra Business Park,Electricity Consumption,Electricity,kWh,2026-11,2026,17380.121,1704,0,,Frontier Developments Ltd.,False,False,False
354342113419,Frontier Developments Ltd.,Maldives Beach Resort,Electricity Consumption,Electricity,kWh,2026-12,2026,0.0,1704,0,,Frontier Developments Ltd.,False,True,False
354342113419,Frontier Developments Ltd.,Alexandra Business Park,Electricity Consumption,Electricity,kWh,2026-12,2026,18320.0,1704,0,,Frontier Developments Ltd.,False,False,False
354342113419,Frontier Developments Ltd.,Maldives Beach Resort,Stationary Asset Combustion,Diesel,litre,2026-01,2026,10.0,1704,0,,Frontier Developments Ltd.,False,False,False
354342113419,Frontier Developments Ltd.,Maldives Beach Resort,Stationary Asset Combustion,Diesel,litre,2026-02,2026,0.0,1704,0,,Frontier Developments Ltd.,False,True,False
